取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),借方税額,貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),貸方税額,摘要,仕訳メモ,タグ,MF仕訳タイプ,決算整理仕訳
480,2025/09/28,広告宣伝費,,,,課税仕入 10%,,13800,1254,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
481,2025/09/28,未払費用,,,,対象外,,180000,0,普通預金,三井住友BK,,,対象外,,360000,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
481,2025/09/28,預り金,社会保険,,,対象外,,180000,0,,,,,,,0,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
485,2025/09/28,売掛金,,,,対象外,,394900,0,売上高,,,,課税売上 10%,,760400,69127,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
486,2025/09/28,売掛金,,,,対象外,,1096700,0,売上高,,,,課税売上 10%,,1025200,93200,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
529,2025/09/28,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
553,2025/09/28,荷造運賃,,,,課税仕入 10%,,1200,109,現金,,,,対象外,,1200,0,日本郵便 ゆうパック,,,簡単入力,No
1110,2025/09/30,普通預金,三井住友BK,,,対象外,,11,0,受取利息,,,,非課税売上,,30,0,ﾘｿｸ 三井住友BK,,,振替伝票,No
597,2025/10/01,荷造運賃,,,,課税仕入 10%,,15000,1363,未払金,ｱﾒﾘｶﾝEX,,,対象外,,15000,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
615,2025/10/01,支払手数料,,,,課税仕入 10%,,200,18,普通預金,三井住友BK,,,対象外,,200,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
577,2025/10/02,仕入高,,,,課税仕入 10%,,107200,9745,未払金,ｱﾒﾘｶﾝEX,,,対象外,,107200,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
600,2025/10/02,荷造運賃,,,,課税仕入 10%,,6300,572,現金,,,,対象外,,6300,0,佐川急便 着払い,,,簡単入力,No
616,2025/10/02,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
642,2025/10/02,消耗品費,,,,課税仕入 10%,,8800,800,役員借入金,,,,対象外,,8800,0,役員立替 ﾃｽﾄﾀﾛｳ,,,簡単入力,No
619,2025/10/03,支払手数料,,,,課税仕入 10%,,400,36,普通預金,三井住友BK,,,対象外,,400,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
624,2025/10/03,車両費,,,,課税仕入 10%,,3600,327,未払金,VISA,,,対象外,,3600,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
647,2025/10/04,現金,,,,対象外,,164700,0,普通預金,三井住友BK,,,対象外,,94800,0,ATM 引出し,,,振替伝票,No
595,2025/10/05,荷造運賃,,,,課税仕入 10%,,5600,509,未払金,ｱﾒﾘｶﾝEX,,,対象外,,5600,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
614,2025/10/05,旅費交通費,,,,課税仕入 10%,,2300,209,現金,,,,対象外,,2300,0,国際交通 ﾀｸｼｰ,,,簡単入力,No
629,2025/10/05,会議費,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
631,2025/10/06,会議費,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
640,2025/10/06,会議費,,,,課税仕入 10%,,1200,109,現金,,,,対象外,,1200,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
583,2025/10/07,仕入高,,,,課税仕入 10%,,5800,527,未払金,VISA,,,対象外,,5800,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
620,2025/10/07,新聞図書費,,,,課税仕入 10%,,2700,245,未払金,ｱﾒﾘｶﾝEX,,,対象外,,2700,0,AMAZON.CO.JP 書籍,,,簡単入力,No
622,2025/10/07,車両費,,,,課税仕入 10%,,7500,681,未払金,ｱﾒﾘｶﾝEX,,,対象外,,7500,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
650,2025/10/07,普通預金,三井住友BK,,,対象外,,566000,0,役員借入金,,,,対象外,,333700,0,ﾃｽﾄ ﾀﾛｳ 役員借入,,,振替伝票,No
592,2025/10/08,水道光熱費,,,,課税仕入 10%,,7600,690,普通預金,三井住友BK,,,対象外,,7600,0,ｵｵｻｶｶﾞｽ,,,振替伝票,No
605,2025/10/08,会議費,,,,課税仕入 10%,,1600,145,現金,,,,対象外,,1600,0,STARBUCKS #12345,,,簡単入力,No
611,2025/10/08,旅費交通費,,,,課税仕入 10%,,1600,145,現金,,,,対象外,,1600,0,JR西日本 交通費,,,簡単入力,No
635,2025/10/08,旅費交通費,,,,課税仕入 10%,,2000,181,現金,,,,対象外,,2000,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
608,2025/10/09,消耗品費,,,,課税仕入 10%,,5000,454,未払金,VISA,,,対象外,,5000,0,ｱｽｸﾙ,,,簡単入力,No
585,2025/10/10,仕入高,,,,課税仕入 10%,,21800,1981,未払金,VISA,,,対象外,,21800,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
599,2025/10/10,荷造運賃,,,,課税仕入 10%,,6400,581,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6400,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
628,2025/10/10,会議費,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
648,2025/10/10,預り金,源泉所得税,,,対象外,,45000,0,普通預金,日本信金,,,対象外,,45000,0,ｾﾞｲﾑｼﾖ ｹﾞﾝｾﾝ 納付,,,振替伝票,No
649,2025/10/10,預り金,住民税,,,対象外,,30000,0,普通預金,日本信金,,,対象外,,30000,0,ｼﾞﾕｳﾐﾝｾﾞｲ 納付,,,振替伝票,No
625,2025/10/11,消耗品費,,,,課税仕入 10%,,1300,118,未払金,VISA,,,対象外,,1300,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
594,2025/10/12,通信費,,,,課税仕入 10%,,3300,300,未払金,VISA,,,対象外,,3300,0,ｻｸﾗｲﾝﾀ-ﾈﾂﾄ,,,簡単入力,No
606,2025/10/12,会議費,,,,課税仕入 10%,,2200,200,現金,,,,対象外,,2200,0,STARBUCKS #12345,,,簡単入力,No
618,2025/10/12,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
607,2025/10/14,消耗品費,,,,課税仕入 10%,,3100,281,現金,,,,対象外,,3100,0,コクヨ 事務用品,,,簡単入力,No
621,2025/10/14,車両費,,,,課税仕入 10%,,6400,581,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6400,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
565,2025/10/15,普通預金,三井住友BK,,,対象外,,405300,0,売掛金,,,,対象外,,405300,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
565,2025/10/15,支払手数料,,,,課税仕入 10%,,32300,2936,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
565,2025/10/15,販売促進費,,,,課税仕入 10%,,13300,1209,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
567,2025/10/15,普通預金,三井住友BK,,,対象外,,689000,0,売掛金,,,,対象外,,689000,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
567,2025/10/15,支払手数料,,,,課税仕入 10%,,41700,3790,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
567,2025/10/15,広告宣伝費,,,,課税仕入 10%,,12700,1154,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
571,2025/10/15,売掛金,,,,対象外,,406400,0,売上高,,,,課税売上 10%,,444400,40400,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
572,2025/10/15,売掛金,,,,対象外,,762100,0,売上高,,,,課税売上 10%,,1165200,105927,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
591,2025/10/15,水道光熱費,,,,課税仕入 10%,,16200,1472,普通預金,三井住友BK,,,対象外,,16200,0,ｶﾝｻｲﾃﾞﾝﾘﾖｸ,,,振替伝票,No
623,2025/10/15,車両費,,,,課税仕入 10%,,5600,509,未払金,VISA,,,対象外,,5600,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
626,2025/10/15,消耗品費,,,,課税仕入 10%,,1100,100,未払金,VISA,,,対象外,,1100,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
643,2025/10/15,消耗品費,,,,課税仕入 10%,,16200,1472,役員借入金,,,,対象外,,16200,0,役員立替 ﾃｽﾄﾀﾛｳ,,,簡単入力,No
581,2025/10/16,仕入高,,,,課税仕入 10%,,49800,4527,未払金,ｱﾒﾘｶﾝEX,,,対象外,,49800,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
637,2025/10/16,通信費,,,,課税仕入 10%,,400,36,現金,,,,対象外,,400,0,日本郵便 ﾃｽﾄ郵便局 切手,,,簡単入力,No
646,2025/10/16,現金,,,,対象外,,67600,0,普通預金,三井住友BK,,,対象外,,191200,0,ATM 引出し,,,振替伝票,No
582,2025/10/17,仕入高,,,,課税仕入 10%,,18400,1672,未払金,VISA,,,対象外,,18400,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
598,2025/10/17,荷造運賃,,,,課税仕入 10%,,8600,781,未払金,ｱﾒﾘｶﾝEX,,,対象外,,8600,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
584,2025/10/18,仕入高,,,,課税仕入 10%,,44900,4081,未払金,VISA,,,対象外,,44900,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
586,2025/10/18,仕入高,,,,課税仕入 10%,,170000,15454,未払金,ｱﾒﾘｶﾝEX,,,対象外,,170000,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
627,2025/10/18,消耗品費,,,,課税仕入 10%,,1200,109,未払金,VISA,,,対象外,,1200,0,ｾﾌﾞﾝ-ｲﾚﾌﾞﾝ ﾃｽﾄﾃﾝ,,,簡単入力,No
630,2025/10/19,会議費,,,,課税仕入 10%,,800,72,現金,,,,対象外,,800,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
639,2025/10/19,荷造運賃,,,,課税仕入 10%,,1500,136,現金,,,,対象外,,1500,0,日本郵便 ゆうパック,,,簡単入力,No
601,2025/10/20,荷造運賃,,,,課税仕入 10%,,6700,609,現金,,,,対象外,,6700,0,佐川急便 着払い,,,簡単入力,No
603,2025/10/20,広告宣伝費,,,,課税仕入 10%,,55400,5036,未払金,VISA,,,対象外,,55400,0,ﾗｸﾃﾝ ｺｳｺｸ,,,簡単入力,No
604,2025/10/20,広告宣伝費,,,,課税仕入 10%,,41400,3763,未払金,ｱﾒﾘｶﾝEX,,,対象外,,41400,0,GOOGLE ADS,,,簡単入力,No
590,2025/10/21,地代家賃,,,,非課税仕入,,150000,0,普通預金,三井住友BK,,,対象外,,150000,0,ﾌﾘｺﾐ ﾃｽﾄﾌﾄﾞｳｻﾝ 家賃,,,振替伝票,No
596,2025/10/21,荷造運賃,,,,課税仕入 10%,,10100,918,未払金,ｱﾒﾘｶﾝEX,,,対象外,,10100,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
613,2025/10/22,旅費交通費,,,,課税仕入 10%,,600,54,現金,,,,対象外,,600,0,JR西日本 交通費,,,簡単入力,No
633,2025/10/23,荷造運賃,,,,課税仕入 10%,,300,27,現金,,,,対象外,,300,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
578,2025/10/24,仕入高,,,,課税仕入 10%,,53300,4845,未払金,ｱﾒﾘｶﾝEX,,,対象外,,53300,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
588,2025/10/24,仕入高,,,,課税仕入 10%,,384900,34990,普通預金,三井住友BK,,,対象外,,384900,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
593,2025/10/24,通信費,,,,課税仕入 10%,,17900,1627,未払金,VISA,,,対象外,,17900,0,NTTﾄﾞｺﾓ,,,簡単入力,No
634,2025/10/24,荷造運賃,,,,課税仕入 10%,,200,18,現金,,,,対象外,,200,0,ダイソー ﾃｽﾄ店 梱包資材,,,簡単入力,No
641,2025/10/24,会議費,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
563,2025/10/25,給料手当,,,,対象外,,280000,0,普通預金,三井住友BK,,,対象外,,205000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
563,2025/10/25,,,,,,,,0,預り金,源泉所得税,,,対象外,,45000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
563,2025/10/25,,,,,,,,0,預り金,住民税,,,対象外,,30000,0,給料 ﾔﾏﾀﾞﾊﾅｺ,,,振替伝票,No
564,2025/10/25,給料手当,,,,対象外,,250000,0,普通預金,三井住友BK,,,対象外,,175000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
564,2025/10/25,,,,,,,,0,預り金,源泉所得税,,,対象外,,45000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
564,2025/10/25,,,,,,,,0,預り金,住民税,,,対象外,,30000,0,給料 ｻﾄｳｲﾁﾛｳ,,,振替伝票,No
570,2025/10/25,役員報酬,,,,対象外,,500000,0,普通預金,三井住友BK,,,対象外,,500000,0,役員報酬 ﾃｽﾄﾀﾛｳ,,,振替伝票,No
602,2025/10/25,荷造運賃,,,,課税仕入 10%,,3300,300,現金,,,,対象外,,3300,0,佐川急便 着払い,,,簡単入力,No
610,2025/10/25,旅費交通費,,,,課税仕入 10%,,800,72,現金,,,,対象外,,800,0,JR西日本 交通費,,,簡単入力,No
636,2025/10/25,旅費交通費,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,タイムズ ﾃｽﾄ駅前,,,簡単入力,No
580,2025/10/26,仕入高,,,,課税仕入 10%,,129500,11772,未払金,ｱﾒﾘｶﾝEX,,,対象外,,129500,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
609,2025/10/26,旅費交通費,,,,課税仕入 10%,,1700,154,現金,,,,対象外,,1700,0,JR西日本 交通費,,,簡単入力,No
638,2025/10/26,荷造運賃,,,,課税仕入 10%,,1300,118,現金,,,,対象外,,1300,0,日本郵便 ゆうパック,,,簡単入力,No
575,2025/10/27,仕入高,,,,課税仕入 10%,,129500,11772,未払金,ｱﾒﾘｶﾝEX,,,対象外,,129500,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
576,2025/10/27,仕入高,,,,課税仕入 10%,,147800,13436,未払金,ｱﾒﾘｶﾝEX,,,対象外,,147800,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
589,2025/10/27,仕入高,,,,課税仕入 10%,,16700,1518,未払金,VISA,,,対象外,,16700,0,ﾋﾞﾂｸｶﾒﾗ ﾅﾝﾊﾞﾃﾝ,,,簡単入力,No
612,2025/10/27,旅費交通費,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,JR西日本 交通費,,,簡単入力,No
617,2025/10/27,支払手数料,,,,課税仕入 10%,,200,18,普通預金,三井住友BK,,,対象外,,200,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
644,2025/10/27,未払金,ｱﾒﾘｶﾝEX,,,対象外,,241000,0,普通預金,三井住友BK,,,対象外,,229600,0,ｱﾒﾘｶﾝEX ｶｰﾄﾞ引落し,,,振替伝票,No
645,2025/10/27,未払金,VISA,,,対象外,,264400,0,普通預金,三井住友BK,,,対象外,,379200,0,VISAﾋｷｵﾄｼ,,,振替伝票,No
566,2025/10/28,普通預金,三井住友BK,,,対象外,,592900,0,売掛金,,,,対象外,,592900,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
566,2025/10/28,支払手数料,,,,課税仕入 10%,,23900,2172,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
566,2025/10/28,販売促進費,,,,課税仕入 10%,,5500,500,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
568,2025/10/28,普通預金,三井住友BK,,,対象外,,672200,0,売掛金,,,,対象外,,672200,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
568,2025/10/28,支払手数料,,,,課税仕入 10%,,22600,2054,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
568,2025/10/28,広告宣伝費,,,,課税仕入 10%,,29900,2718,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
569,2025/10/28,未払費用,,,,対象外,,180000,0,普通預金,三井住友BK,,,対象外,,360000,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
569,2025/10/28,預り金,社会保険,,,対象外,,180000,0,,,,,,,0,0,ｹﾝﾎﾟｷﾖｳｶｲ 社保,,,振替伝票,No
573,2025/10/28,売掛金,,,,対象外,,646000,0,売上高,,,,課税売上 10%,,484600,44054,ﾗｸﾃﾝ(ｶ 売上,,,振替伝票,No
574,2025/10/28,売掛金,,,,対象外,,749400,0,売上高,,,,課税売上 10%,,1184200,107654,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 売上,,,振替伝票,No
579,2025/10/28,仕入高,,,,課税仕入 10%,,146600,13327,未払金,ｱﾒﾘｶﾝEX,,,対象外,,146600,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
587,2025/10/28,仕入高,,,,課税仕入 10%,,85400,7763,未払金,ｱﾒﾘｶﾝEX,,,対象外,,85400,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
632,2025/10/28,荷造運賃,,,,課税仕入 10%,,1400,127,現金,,,,対象外,,1400,0,ローソン 宅配便,,,簡単入力,No
664,2025/11/01,仕入高,,,,課税仕入 10%,,118500,10772,未払金,ｱﾒﾘｶﾝEX,,,対象外,,118500,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
699,2025/11/01,旅費交通費,,,,課税仕入 10%,,1000,90,現金,,,,対象外,,1000,0,JR西日本 交通費,,,簡単入力,No
665,2025/11/02,仕入高,,,,課税仕入 10%,,130400,11854,未払金,ｱﾒﾘｶﾝEX,,,対象外,,130400,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
673,2025/11/02,仕入高,,,,課税仕入 10%,,36300,3300,未払金,VISA,,,対象外,,36300,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
686,2025/11/02,荷造運賃,,,,課税仕入 10%,,6700,609,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6700,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
682,2025/11/03,通信費,,,,課税仕入 10%,,3300,300,未払金,VISA,,,対象外,,3300,0,ｻｸﾗｲﾝﾀ-ﾈﾂﾄ,,,簡単入力,No
690,2025/11/03,広告宣伝費,,,,課税仕入 10%,,33100,3009,未払金,ｱﾒﾘｶﾝEX,,,対象外,,33100,0,GOOGLE ADS,,,簡単入力,No
714,2025/11/03,車両費,,,,課税仕入 10%,,5000,454,未払金,VISA,,,対象外,,5000,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
706,2025/11/04,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
712,2025/11/04,車両費,,,,課税仕入 10%,,5800,527,未払金,ｱﾒﾘｶﾝEX,,,対象外,,5800,0,ENEOS ﾃｽﾄSS,,,簡単入力,No
671,2025/11/05,仕入高,,,,課税仕入 10%,,14600,1327,未払金,VISA,,,対象外,,14600,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
697,2025/11/05,旅費交通費,,,,課税仕入 10%,,1300,118,現金,,,,対象外,,1300,0,JR西日本 交通費,,,簡単入力,No
701,2025/11/05,旅費交通費,,,,課税仕入 10%,,4400,400,現金,,,,対象外,,4400,0,国際交通 ﾀｸｼｰ,,,簡単入力,No
719,2025/11/05,会議費,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
739,2025/11/05,役員借入金,,,,対象外,,158800,0,普通預金,三井住友BK,,,対象外,,221000,0,役員借入金 返済 ﾃｽﾄﾀﾛｳ,,,振替伝票,No
677,2025/11/06,仕入高,,,,課税仕入 10%,,138700,12609,普通預金,三井住友BK,,,対象外,,138700,0,ﾌﾘｺﾐ ﾔﾏﾀﾞﾃﾞﾝｷ,,,振替伝票,No
685,2025/11/06,荷造運賃,,,,課税仕入 10%,,5100,463,未払金,ｱﾒﾘｶﾝEX,,,対象外,,5100,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
735,2025/11/06,現金,,,,対象外,,184200,0,普通預金,三井住友BK,,,対象外,,132900,0,ATM 引出し,,,振替伝票,No
736,2025/11/06,現金,,,,対象外,,187800,0,普通預金,三井住友BK,,,対象外,,131300,0,ATM 引出し,,,振替伝票,No
675,2025/11/07,仕入高,,,,課税仕入 10%,,65600,5963,未払金,ｱﾒﾘｶﾝEX,,,対象外,,65600,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
696,2025/11/07,消耗品費,,,,課税仕入 10%,,9700,881,未払金,VISA,,,対象外,,9700,0,ｱｽｸﾙ,,,簡単入力,No
709,2025/11/07,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
672,2025/11/09,仕入高,,,,課税仕入 10%,,42700,3881,未払金,VISA,,,対象外,,42700,0,ﾒﾙｶﾘ 商品仕入,,,簡単入力,No
674,2025/11/09,仕入高,,,,課税仕入 10%,,31300,2845,未払金,ｱﾒﾘｶﾝEX,,,対象外,,31300,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
676,2025/11/09,仕入高,,,,課税仕入 10%,,142900,12990,未払金,ｱﾒﾘｶﾝEX,,,対象外,,142900,0,ヤマダデンキ ﾃﾗｵﾃﾝ,,,簡単入力,No
678,2025/11/09,地代家賃,,,,非課税仕入,,150000,0,普通預金,三井住友BK,,,対象外,,150000,0,ﾌﾘｺﾐ ﾃｽﾄﾌﾄﾞｳｻﾝ 家賃,,,振替伝票,No
707,2025/11/09,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
713,2025/11/10,車両費,,,,課税仕入 10%,,6600,600,未払金,VISA,,,対象外,,6600,0,ｲﾃﾞﾐﾂ ﾃｽﾄSS,,,簡単入力,No
721,2025/11/10,会議費,,,,課税仕入 10%,,700,63,現金,,,,対象外,,700,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
730,2025/11/10,会議費,,,,課税仕入 10%,,1500,136,現金,,,,対象外,,1500,0,ドトール ﾃｽﾄ駅前店,,,簡単入力,No
737,2025/11/10,預り金,源泉所得税,,,対象外,,45000,0,普通預金,日本信金,,,対象外,,45000,0,ｾﾞｲﾑｼﾖ ｹﾞﾝｾﾝ 納付,,,振替伝票,No
738,2025/11/10,預り金,住民税,,,対象外,,30000,0,普通預金,日本信金,,,対象外,,30000,0,ｼﾞﾕｳﾐﾝｾﾞｲ 納付,,,振替伝票,No
667,2025/11/11,仕入高,,,,課税仕入 10%,,111000,10090,未払金,ｱﾒﾘｶﾝEX,,,対象外,,111000,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
683,2025/11/11,荷造運賃,,,,課税仕入 10%,,6400,581,未払金,ｱﾒﾘｶﾝEX,,,対象外,,6400,0,ﾔﾏﾄｳﾝﾕ ﾊｯｿｳ,,,簡単入力,No
700,2025/11/11,旅費交通費,,,,課税仕入 10%,,900,81,現金,,,,対象外,,900,0,JR西日本 交通費,,,簡単入力,No
705,2025/11/11,支払手数料,,,,課税仕入 10%,,300,27,普通預金,三井住友BK,,,対象外,,300,0,ﾌﾘｺﾐﾃｽｳﾘﾖｳ,,,振替伝票,No
717,2025/11/11,会議費,,,,課税仕入 10%,,400,36,現金,,,,対象外,,400,0,ファミリーマート ﾃｽﾄ駅前店,,,簡単入力,No
666,2025/11/12,仕入高,,,,課税仕入 10%,,144400,13127,未払金,ｱﾒﾘｶﾝEX,,,対象外,,144400,0,AMAZON.CO.JP 商品仕入,,,簡単入力,No
687,2025/11/12,荷造運賃,,,,課税仕入 10%,,2100,190,現金,,,,対象外,,2100,0,佐川急便 着払い,,,簡単入力,No
698,2025/11/12,旅費交通費,,,,課税仕入 10%,,2500,227,現金,,,,対象外,,2500,0,JR西日本 交通費,,,簡単入力,No
679,2025/11/13,水道光熱費,,,,課税仕入 10%,,19900,1809,普通預金,三井住友BK,,,対象外,,19900,0,ｶﾝｻｲﾃﾞﾝﾘﾖｸ,,,振替伝票,No
692,2025/11/13,会議費,,,,課税仕入 10%,,2300,209,現金,,,,対象外,,2300,0,STARBUCKS #12345,,,簡単入力,No
710,2025/11/13,新聞図書費,,,,課税仕入 10%,,2400,218,未払金,ｱﾒﾘｶﾝEX,,,対象外,,2400,0,AMAZON.CO.JP 書籍,,,簡単入力,No
734,2025/11/13,現金,,,,対象外,,159300,0,普通預金,三井住友BK,,,対象外,,161100,0,ATM 引出し,,,振替伝票,No
653,2025/11/15,普通預金,三井住友BK,,,対象外,,594100,0,売掛金,,,,対象外,,594100,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
653,2025/11/15,支払手数料,,,,課税仕入 10%,,26100,2372,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
653,2025/11/15,販売促進費,,,,課税仕入 10%,,9400,854,,,,,,,0,0,ﾗｸﾃﾝ(ｶ 入金,,,振替伝票,No
655,2025/11/15,普通預金,三井住友BK,,,対象外,,1078200,0,売掛金,,,,対象外,,1078200,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
655,2025/11/15,支払手数料,,,,課税仕入 10%,,27500,2500,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
655,2025/11/15,広告宣伝費,,,,課税仕入 10%,,29800,2709,,,,,,,0,0,ｱﾏｿﾞﾝｼﾞﾔﾊﾟﾝ(ｶ 入金,,,振替伝票,No
